,Type of Waste,Amount
0,"Fiskekroker (sluk, dupp osv.)",4924
1,Uidentifiserte plastbiter,3472
2,Uidentifiserte plastbiter under 50 cm,2876
3,Tau,1629
4,Sigarettsneiper,1280
5,Isopor,1199
6,Tau under 50 cm,1116
7,Isopor under 5 cm,683
8,Snusposer (porsjon),607
9,Plastflasker (drikke),418
10,Metallbokser (drikke),353
11,Dekk,346
12,Tau over 50 cm,332
13,"Lokk, korker og drikkeboksringer",330
14,Godteri- og snacksemballasje,299
15,Uidentifiserte plastbiter over 50 cm,290
16,Isopor over 5 cm,287
17,Sprengkabler (skyteledning),266
18,Matemballasje,257
19,Handleposer (plast),185
20,Armeringsfiber,183
21,Husholdnings- og rengjøringsprodukter,174
22,Metallbokser - vet ikke (drikke),173
23,Glassflasker,162
24,Fiskegarn (inkl. not og trål),156
25,Metallbokse - norske (drikke),146
26,Pakkebånd,141
27,Snusbokser,139
28,Plastflasker - norske (drikke),138
29,Strips,132
30,Plastflasker - vet ikke (drikke),129
31,Fiskesnøre,87
32,Sugerør og rørepinner,85
33,Husholdnings- og rengjøringsprodukter - vet ikke,84
34,Bomullspinner (q-tips),83
35,Patronhylser,80
36,Rør og rørdeler,78
37,Sigarettpakker (inkl. tilbehør),77
38,Take- away emballasje,76
39,"Kanner (olje, bensin og kjemikalier)",75
40,Klær og tekstiler,73
41,"Bøyer, flottører og garnringer",71
42,Småposer og fruktposer (plast),70
43,Behandlet trevirke,65
44,"Leker, smokker osv.",60
45,Lightere,55
46,Fiskekasser og isoporkasser,53
47,Engangshansker,53
48,Teiner og ruser,53
49,"Fat og kar (olje, kjemikalier, oppsamlingskar osv.)",51
50,Fiskegarn under 50 cm (inkl. not og trål),51
51,Plastflasker - utenlandske (drikke),50
52,Husholdnings- og rengjøringsprodukter - norske,44
53,Søppelsekker (plast),44
54,Sko,44
55,Forladninger,41
56,Sprøyter og sprøytespisser,41
57,Fiskegarn over 50 cm(inkl. not og trål),40
58,Agnemballasje og bokser,35
59,Byggematerialer,33
60,Elektriske artikler,32
61,Isolasjonsmateriale,32
62,Munnbind,31
63,Presenning og plastduker,26
64,Ballonger (inkl. ventil og bånd),23
65,"Emballasje til hygieneartikler (linser, tamponger, kondomer)",22
66,Våtservietter,20
67,Husholdnings- og rengjøringsprodukter - utenlandske,19
68,Malingsspann o.l.,18
69,Kondomer,17
70,Lyspærer,14
71,Brøytestikker,11
72,"Plastkasser (bruskasser, ølkasser osv.)",10
73,Batterier,10
74,Rundballplast (landbruksplast),8
75,Metallbokser - utenlandske (drikke),8
76,Bind og tamponger,6
77,Papirposer,5
78,"Plastpellets (små råplastkuler, nurdles)",5
79,Biomedier og rensefiltre,4
80,Paller,4
81,Hvitevarer,3
82,Bildeler,3
83,Engangsgrill,2
84,Bleier,2
