Fylke,Kg,Sugerør og rørepinner,Ballonger (inkl. ventil og bånd),Klær og tekstiler,Sko,"Leker, smokker osv.",Matemballasje,Take- away emballasje,Godteri- og snacksemballasje,Husholdnings- og rengjøringsprodukter,Husholdnings- og rengjøringsprodukter - norske,Husholdnings- og rengjøringsprodukter - utenlandske,Husholdnings- og rengjøringsprodukter - vet ikke,Plastflasker (drikke),Plastflasker - norske (drikke),Plastflasker - utenlandske (drikke),Plastflasker - vet ikke (drikke),Metallbokser (drikke),Metallbokse - norske (drikke),Metallbokser - utenlandske (drikke),Metallbokser - vet ikke (drikke),Glassflasker,"Lokk, korker og drikkeboksringer",Handleposer (plast),Søppelsekker (plast),Småposer og fruktposer (plast),Papirposer,Engangsgrill,Sigarettsneiper,Snusposer (porsjon),Snusbokser,Sigarettpakker (inkl. tilbehør),Lightere,Agnemballasje og bokser,Fiskegarn (inkl. not og trål),Fiskegarn under 50 cm (inkl. not og trål),Fiskegarn over 50 cm(inkl. not og trål),"Fiskekroker (sluk, dupp osv.)","Kanner (olje, bensin og kjemikalier)",Teiner og ruser,"Bøyer, flottører og garnringer",Fiskekasser og isoporkasser,Fiskesnøre,Tau,Tau under 50 cm,Tau over 50 cm,Rør og rørdeler,Armeringsfiber,Behandlet trevirke,Byggematerialer,Isopor,Isopor under 5 cm,Isopor over 5 cm,"Fat og kar (olje, kjemikalier, oppsamlingskar osv.)",Pakkebånd,Strips,Paller,Presenning og plastduker,Malingsspann o.l.,Biomedier og rensefiltre,Isolasjonsmateriale,Sprengkabler (skyteledning),Rundballplast (landbruksplast),"Plastpellets (små råplastkuler, nurdles)",Bind og tamponger,Bleier,Sprøyter og sprøytespisser,"Emballasje til hygieneartikler (linser, tamponger, kondomer)",Bomullspinner (q-tips),Kondomer,Våtservietter,Munnbind,Engangshansker,Batterier,Dekk,Hvitevarer,Lyspærer,Brøytestikker,Bildeler,Elektriske artikler,Patronhylser,Forladninger,Uidentifiserte plastbiter,Uidentifiserte plastbiter under 50 cm,Uidentifiserte plastbiter over 50 cm,"Plastkasser (bruskasser, ølkasser osv.)",Amount of Most Found,Most Found Element
Agder,9011,4,4,1,2,1,8,1,12,0,0,0,0,24,1,4,11,3,0,0,0,6,26,12,2,2,0,0,7,0,4,0,5,4,20,14,4,4,2,21,7,3,17,228,154,66,1,0,2,2,74,46,28,1,2,10,0,0,0,0,11,15,0,0,0,1,9,0,21,0,3,0,2,5,249,0,5,1,0,10,23,8,607,363,184,5,607,Uidentifiserte plastbiter
Møre og Romsdal,3290,10,6,19,14,23,33,10,44,108,20,18,43,196,38,34,51,26,8,1,1,9,64,31,7,31,0,0,0,0,22,1,3,18,80,18,9,0,31,5,28,31,0,835,587,128,24,30,12,4,200,57,96,27,82,87,1,4,17,2,1,26,8,0,0,0,3,10,6,0,6,0,11,0,2,0,4,7,1,0,11,4,987,886,29,2,987,Uidentifiserte plastbiter
Nordland,3936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4865,"Fiskekroker (sluk, dupp osv.)"
Oslo,2335,32,5,13,5,4,61,35,55,8,8,0,0,67,62,0,0,110,107,0,0,31,53,62,15,12,3,2,1183,584,79,63,17,0,10,4,6,0,7,1,2,3,0,13,6,7,3,0,0,6,403,403,0,1,8,8,0,0,0,2,1,0,0,0,6,0,16,1,0,14,2,28,13,2,3,0,1,0,0,7,0,0,20,20,0,2,1183,Sigarettsneiper
Rogaland,7388,12,2,15,4,17,37,15,120,27,2,0,25,48,3,1,33,14,10,0,0,5,97,12,9,5,0,0,1,6,9,9,7,6,13,1,12,6,18,2,27,9,2,351,255,69,18,144,16,16,230,92,132,6,29,22,2,4,0,0,17,126,0,5,0,0,1,11,28,1,4,2,8,0,47,2,0,0,1,1,8,14,1433,1407,26,0,1433,Uidentifiserte plastbiter
Svalbard,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leker, smokker osv."
Troms og Finnmark,57,0,0,0,2,0,3,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,2,0,0,0,0,29,20,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,Isopor
Trøndelag,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leker, smokker osv."
Vestfold og Telemark,50,7,0,0,0,0,3,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,1,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Fiskegarn (inkl. not og trål)
Vestland,4532,18,5,5,3,3,51,6,32,20,13,1,6,50,29,11,10,21,12,7,2,13,31,20,6,14,2,0,9,10,15,4,14,6,23,14,9,4,10,18,7,5,12,138,89,44,4,0,7,2,87,65,22,9,9,3,0,4,0,0,0,21,0,0,0,0,10,0,25,0,3,1,12,0,7,1,3,3,0,0,35,0,140,117,20,1,140,Uidentifiserte plastbiter
Viken,3000,2,1,20,14,12,61,5,34,11,1,0,10,31,5,0,24,177,7,0,170,98,53,46,4,4,0,0,80,7,10,0,3,1,0,0,0,45,7,6,0,0,54,58,24,16,28,9,28,3,176,0,0,7,8,2,1,14,1,0,2,78,0,0,0,1,2,0,3,2,2,0,7,3,38,0,1,0,1,14,3,15,285,83,31,0,285,Uidentifiserte plastbiter
