month,startyear,endyear,start_hour,end_hour,number_of_participants,number_of_waste_bags,kg_of_collected_waste,meters_cleaned_beach,engangsdekketoy,ballonger,glassflasker,klaer_tekstiler,lightere,matemballasje,sigarettsneiper,engangsgriller,leker_smokker,lokk_korker,sko,sugeroer,agnemballasje,boeyer_flottoerer,fiskegarn,fiskekasser,fiskekroker,fiskesnoere,olje_bensinkanner,tau_over_50cm,tau_under_50cm,teiner,armeringsfiber,isolasjonsmateriale,plastpellets,sprengkabler,bind_tamponger,biomedier_rensefiltre,bleier,bomullspinner,sproeyter,kondomer,emballasje_hygieneart,vaatservietter,batterier,bildeler,dekk,elektriske_artikler,hvitevarer,isopor_over5cm,lyspaerer,malingsspann,oljefat,paller,patronhylser,presenning_plastduker,uidentifiserbare_plastbiter,take_awaybeholdere,godteriemballasje,husholdningsprodukter,husholdnignsprodukter_norske,husholdnignsprodukter_utenlandske,husholdnignsprodukter_vet_ikke,plastflasker,plastflasker_norske,plastflasker_utenlandske,plastflasker_vet_ikke,metallbokser,metallbokser_norsk,metallbokser_utenlandske,metallbokser_vet_ikke,handleposer,soppelsekker,smaposer,papirposer,snusposer,snuspakker,sigarettpakker,fiskegarn_under_50cm,fiskegarn_over_50cm,tau,ror,behandlet_trevirke,byggematerialer,pakkeband,strips,rundballplast,broytepinner,forladninger,uidentifiserte_plastbiter_under_50cm,uidentifiserte_plastbiter_over_50cm,lon,lat,CUMSUM
2014-01,2014.0,2039.0,0.0,0.0,1.0,0.0,2000.0,518.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0
2019-06,4038.0,4038.0,0.0,0.0,14.0,50.0,600.0,20036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0
2019-07,2019.0,2019.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0
2019-08,8076.0,8078.0,0.0,0.0,60.0,10.0,2200.0,35038.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4800.0
2019-09,2019.0,2019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4800.0
2019-10,4038.0,4044.0,0.0,0.0,20.0,1490.0,62000.0,89114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66800.0
2019-11,12114.0,12114.0,0.0,0.0,22.0,17.0,160.0,8578.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66960.0
2019-12,52494.0,52509.0,0.0,0.0,1316.0,68.0,131180.0,582541.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198140.0
2020-01,119180.0,119180.0,1700.0,3700.0,665.0,783.0,37420.0,37882.0,38.0,41.0,23.0,15.0,5.0,76.0,50.0,0.0,8.0,126.0,7.0,31.0,4.0,25.0,509.0,21.0,0.0,4.0,34.0,20.0,222.0,0.0,0.0,0.0,400.0,0.0,41.0,0.0,0.0,108.0,0.0,0.0,41.0,29.0,0.0,0.0,2.0,2.0,1.0,113.0,0.0,0.0,33.0,3.0,23.0,14.0,329.0,32.0,89.0,76.0,35.0,40.0,0.0,16.0,8.0,0.0,0.0,27.0,7.0,0.0,0.0,121.0,104.0,65.0,1.0,45.0,6.0,7.0,402.0,101.0,292.0,10.0,13.0,18.0,73.0,6.0,13.0,10.0,0.0,0.0,0.0,0.0,0.0,235560.0
2020-02,76760.0,76760.0,5000.0,6900.0,169.0,349.0,5200.0,29023.0,15.0,5.0,1.0,6.0,4.0,30.0,6.0,1.0,5.0,42.0,5.0,18.0,10.0,3.0,0.0,12.0,4.0,6.0,19.0,6.0,71.0,54.0,0.0,5.0,0.0,40.0,0.0,0.0,0.0,21.0,6.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,3.0,0.0,6.0,1.0,74.0,20.0,35.0,3.0,3.0,0.0,0.0,24.0,4.0,0.0,0.0,12.0,8.0,0.0,4.0,14.0,3.0,20.0,1.0,6.0,11.0,1.0,0.0,0.0,77.0,4.0,0.0,6.0,11.0,1.0,2.0,6.0,20.0,0.0,0.0,0.0,0.0,240760.0
